Price,Acreage,District,Ward,Length,Width,Direction,Alley,Floors,Ledger,Bedroom,Bathroom,Is Market,Is Hospital,Is Park,Is School,Is Alley Ventilation,Is Facade,Is Urgent Sale,Is Center,Is Design,Is Security,Is Vehicle Park
4400000.0,72.2,Q.9,P.Phước Long B,18.0,4.02,Đ.Nam,3.7,1.0,Sổ hồng riêng,2,1,1,0,1,1,0,1,1,1,1,1,0
6700000.0,53.5,Q.Tân Phú,P.Phú Thọ Hòa,13.5,4.1,Đông,5.0,2.0,Sổ hồng riêng,2,2,0,0,0,0,0,0,0,0,0,0,0
7450000.0,70.3,Q.6,P.10,18.25,3.85,Đ.Bắc,7.0,3.0,Sổ hồng riêng,3,3,1,0,1,1,0,1,0,1,1,0,0
2400000.0,13.6,Q.Tân Phú,P.Phú Thọ Hòa,5.2,2.7,Đ.Bắc,3.45,2.0,Sổ hồng riêng,2,1,0,0,0,0,0,0,0,0,0,0,0
6700000.0,52.3,Q.6,P.13,14.7,3.5,Đ.Nam,4.82,3.0,Sổ hồng riêng,4,3,0,0,1,0,0,0,0,1,1,0,0
4800000.0,87.3,H.Hóc Môn,X.Thới Tam Thôn,17.45,5.0,Bắc,10.0,3.0,Sổ hồng riêng,3,3,1,0,0,1,0,1,0,0,1,1,0
7500000.0,100.0,Q.Tân Phú,P.Tây Thạnh,25.0,4.0,T.Nam,12.0,1.0,Sổ hồng riêng,3,1,0,0,1,1,0,0,0,1,0,1,0
3810000.0,80.3,H.Hóc Môn,X.Xuân Thới Thượng,12.58,6.16,T.Nam,7.0,3.0,Sổ hồng riêng,4,3,1,0,0,1,0,1,0,0,1,1,0
750000.0,9.0,Q.Tân Bình,P.6,3.28,2.75,Tây,2.0,2.0,Sổ hồng riêng,1,1,1,0,0,1,0,0,0,0,0,0,0
6300000.0,59.1,Q.Gò Vấp,P.10,15.01,4.0,Đ.Bắc,5.0,3.0,Sổ hồng riêng,4,5,1,0,0,1,0,0,0,1,1,1,0
9000000.0,49.3,Q.5,P.1,6.8,7.25,Đ.Nam,4.0,2.5,Sổ hồng riêng,3,3,1,1,0,1,1,1,0,1,1,1,0
4000000.0,64.9,Q.Gò Vấp,P.3,12.3,3.6,T.Nam,2.5,2.0,Sổ hồng riêng,1,1,1,1,1,1,0,1,0,1,0,1,0
5200000.0,127.6,H.Nhà Bè,X.Phước Lộc,25.64,4.99,Đ.Nam,6.0,3.0,Sổ hồng riêng,4,3,1,0,0,1,0,1,1,0,0,0,0
16300000.0,80.0,Q.6,P.11,20.0,4.0,Nam,9.0,3.0,Sổ hồng riêng,3,2,1,0,1,0,0,0,0,1,1,0,0
2570000.0,48.5,Q.Gò Vấp,P.16,111.75,4.07,T.Nam,0.5,1.5,Sổ hồng riêng,1,1,0,0,0,1,0,0,0,1,0,1,0
5500000.0,52.0,H.Nhà Bè,X.Nhà Bè,12.28,4.0,T.Nam,9.0,3.5,Sổ hồng riêng,3,4,1,0,1,1,1,1,1,1,0,1,0
6500000.0,70.9,Q.4,P.16,15.5,4.65,Đ.Bắc,2.0,2.0,Sổ hồng riêng,3,3,1,0,0,1,1,1,0,1,1,1,1
2450000.0,16.5,Q.Gò Vấp,P.16,5.27,3.85,Nam,4.0,2.0,Sổ hồng riêng,2,2,0,0,0,0,0,0,0,0,0,0,0
4200000.0,57.4,Q.Thủ Đức,P.Hiệp Bình Chánh,13.0,4.3,Đông,3.0,2.0,Sổ hồng riêng,2,2,1,0,1,1,0,1,0,1,1,1,0
9500000.0,54.1,Q.Tân Bình,P.9,13.2,4.1,T.Bắc,6.0,2.5,Sổ hồng,2,2,1,0,0,1,0,0,0,0,0,0,0
7500000.0,91.1,Q.Thủ Đức,P.Linh Trung,12.39,7.6,Đ.Bắc,8.0,3.0,Sổ hồng riêng,4,4,1,1,1,1,0,0,0,1,1,1,1
3750000.0,69.1,Q.9,P.Tăng Nhơn Phú A,17.275,4.0,Đ.Bắc,4.0,2.0,Sổ hồng riêng,3,2,1,1,1,1,0,1,1,1,1,1,1
2750000.0,29.8,Q.8,P.9,10.74,2.7,Tây,3.0,1.0,Sổ hồng riêng,1,1,1,0,0,1,0,1,1,1,1,1,0
3200000.0,25.7,Q.8,P.6,8.58,2.99,Đông,1.6,2.5,Sổ hồng,3,3,1,0,0,1,0,0,0,0,0,0,0
3200000.0,39.7,Q.Thủ Đức,P.Linh Đông,11.72,3.17,Đ.Nam,7.0,1.0,Sổ hồng riêng,2,1,1,0,1,1,0,0,0,1,1,1,0
12000000.0,85.7,Q.Tân Bình,P.12,13.49,6.78,T.Nam,8.0,1.0,Sổ hồng riêng,1,1,0,0,0,1,0,0,0,0,0,0,0
1880000.0,15.7,Q.Gò Vấp,P.14,6.61,2.97,T.Nam,3.3,2.0,Sổ hồng riêng,2,2,1,0,0,1,0,0,0,1,1,1,0
4000000.0,76.4,Q.Bình Tân,P.Bình Hưng Hòa B,14.93,4.6,Tây,4.0,2.0,Sổ hồng riêng,3,2,1,1,1,1,1,1,0,0,1,1,0
3700000.0,55.8,Q.Gò Vấp,P.10,12.5,4.3,Đ.Bắc,1.5,2.0,Sổ hồng riêng,3,3,1,1,1,1,0,0,0,1,1,1,0
4400000.0,47.6,Q.8,P.6,13.4,3.0,Đông,3.0,2.0,Sổ hồng riêng,2,2,1,0,0,1,1,1,1,1,1,1,0
10500000.0,65.1,Q.8,P.15,22.12,4.07,T.Bắc,10.0,4.0,Sổ hồng riêng,3,3,1,0,0,1,0,0,0,0,0,0,0
3400000.0,29.5,Q.8,P.3,8.91,3.1,Tây,4.0,2.5,Sổ hồng riêng,3,3,1,0,0,1,0,1,1,0,1,1,0
12000000.0,49.4,Q.8,P.10,12.29,4.0,Đ.Nam,8.0,3.0,Sổ hồng riêng,4,3,1,0,0,0,0,0,0,1,0,0,0
2150000.0,21.0,Q.Gò Vấp,P.14,5.16,4.04,T.Nam,1.5,2.0,Sổ hồng riêng,2,2,0,0,0,1,0,0,0,1,1,1,0
5850000.0,76.6,Q.12,P.Hiệp Thành,19.24,4.0,Đ.Bắc,7.5,3.0,Sổ hồng riêng,4,3,1,0,0,1,0,1,0,0,1,0,0
5800000.0,33.4,Q.8,P.1,7.56,4.09,Nam,12.0,3.0,Sổ hồng riêng,4,4,1,0,0,1,0,0,0,1,0,0,0
3250000.0,42.4,Q.9,P.Phước Long B,10.21,4.15,Đ.Bắc,4.0,1.5,Sổ hồng riêng,2,2,0,0,1,1,0,1,1,1,0,1,0
